Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank,Regional Rank
246909125,CANYON CREEK EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,428,0.7,38.8,11.9,43.0,1.9,5.7,93.5,95.9,59.9,A,A,A,A+,6,1
246909116,LAUREL MOUNTAIN EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,786,0.9,53.6,7.4,32.3,3.1,5.1,85.4,90.0,60.2,A,A,A,A+,26,2
246909105,SPICEWOOD EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,825,0.8,32.6,12.5,49.1,5.7,3.1,84.9,88.7,59.8,A,A,A,A+,27,3
246909132,CACTUS RANCH EL,ROUND ROCK ISD,WILLIAMSON COUNTY,KG-5,N,NO,995,1.9,35.0,11.9,46.5,1.0,3.8,85.7,89.9,57.4,A,A,A,A+,38,4
227909106,BRIDGE POINT EL,EANES ISD,TRAVIS COUNTY,KG-5,N,NO,709,1.0,9.0,10.0,76.2,2.0,5.5,84.9,82.2,56.3,A,A,A,A+,89,5
227901119,HIGHLAND PARK EL,AUSTIN ISD,TRAVIS COUNTY,KG-5,N,NO,651,0.3,4.9,13.8,75.7,4.5,5.2,84.1,79.3,59.3,A,A,A,A+,90,6
246909134,PATSY SOMMER EL,ROUND ROCK ISD,WILLIAMSON COUNTY,EE-5,N,NO,1174,1.2,50.5,9.5,34.2,2.3,5.1,80.3,85.1,57.8,A,A,A,A+,92,7
227909105,BARTON CREEK EL,EANES ISD,TRAVIS COUNTY,KG-5,N,NO,498,0.4,25.3,10.2,57.8,0.4,2.7,82.9,80.8,59.3,A,A,A,A+,103,8
227901180,KIKER EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,1046,1.1,10.9,17.6,66.8,2.7,4.4,84.8,80.3,55.0,A,A,A,A+,105,9
227901117,GULLETT EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,554,1.8,0.7,16.4,75.8,8.8,3.4,80.7,77.4,57.6,A,A,A,A+,121,10
227909104,FOREST TRAIL EL,EANES ISD,TRAVIS COUNTY,KG-5,N,NO,578,0.3,14.0,10.9,71.1,0.7,1.0,82.3,79.0,58.7,A,A,A,A+,126,11
227913104,LAKE POINTE EL,LAKE TRAVIS ISD,TRAVIS COUNTY,EE-5,N,NO,728,2.2,10.6,11.7,72.3,3.8,6.3,74.5,84.8,57.9,A,A,A,A+,135,12
