Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank,Regional Rank
246909044,CANYON VISTA MIDDLE,ROUND ROCK ISD,TRAVIS COUNTY,6-8,N,NO,1369,2.6,38.9,14.5,39.7,10.0,6.9,79.1,85.3,54.0,A,A,B,A+,35,1
246909052,JAMES GARLAND WALSH MIDDLE,ROUND ROCK ISD,WILLIAMSON COUNTY,6-8,N,NO,1688,4.7,17.6,19.1,55.0,8.7,4.3,76.3,86.5,55.8,A,A,A,A+,37,2
227901044,KEALING M S,AUSTIN ISD,TRAVIS COUNTY,6-8,N,NO,1224,11.5,14.1,27.5,41.4,26.6,8.0,76.2,69.4,56.2,A,A,A,A+,60,3
246909047,CEDAR VALLEY MIDDLE,ROUND ROCK ISD,WILLIAMSON COUNTY,6-8,N,NO,1444,4.8,31.4,17.2,41.8,10.5,4.6,75.3,78.9,55.5,A,A,A,A+,64,4
227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,AUSTIN ISD,TRAVIS COUNTY,6-12,N,NO,785,6.8,2.5,65.1,21.4,55.5,1.1,73.3,63.4,51.0,A,A,C,A+,68,5
227909042,WEST RIDGE MIDDLE,EANES ISD,TRAVIS COUNTY,6-8,N,NO,932,0.1,17.0,11.3,67.0,2.5,2.7,82.2,77.6,50.7,A,A,C,A+,75,6
227901062,GORZYCKI MIDDLE,AUSTIN ISD,TRAVIS COUNTY,6-8,N,NO,1279,1.7,7.3,22.2,64.1,4.5,4.1,78.8,79.1,50.9,A,A,C,A,77,7
227909041,HILL COUNTRY MIDDLE,EANES ISD,TRAVIS COUNTY,6-8,N,NO,1056,1.0,9.6,13.5,71.0,2.3,3.7,80.3,77.4,51.0,A,A,C,A,84,8
246913045,CANYON RIDGE MIDDLE,LEANDER ISD,TRAVIS COUNTY,6-8,N,NO,1327,0.8,13.2,11.7,70.8,2.3,4.0,73.9,76.5,52.3,A,A,B,A,108,9
227913042,HUDSON BEND MIDDLE,LAKE TRAVIS ISD,TRAVIS COUNTY,6-8,N,NO,1180,0.9,5.9,23.9,65.0,15.3,7.4,72.7,68.0,53.8,A,A,B,A,111,10
246913047,FOUR POINTS MIDDLE,LEANDER ISD,TRAVIS COUNTY,6-8,N,NO,734,5.2,7.6,19.1,62.3,13.4,8.1,71.1,66.8,54.4,A,A,B,A,138,11
