Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
57905217,WILLIAM B TRAVIS ACDMY/VNGRD FOR ACADEMICALLY TAG,DALLAS ISD,DALLAS COUNTY,4-5,N,YES,196,4.6,14.3,18.9,59.7,22.4,2.3,98.9,95.3,55.0,A,A,B,A+,1
57910135,SCHOOL FOR THE HIGHLY GIFTED,GRAND PRAIRIE ISD,DALLAS COUNTY,1-6,N,NO,106,16.0,11.3,27.4,39.6,34.9,1.1,96.5,93.0,53.9,A,A,B,A+,2
178904139,WINDSOR PARK G/T,CORPUS CHRISTI ISD,NUECES COUNTY,1-5,N,NO,590,3.2,12.0,48.1,35.4,28.1,4.4,93.9,96.0,56.8,A,A,A,A+,3
19907116,MARTHA & JOSH MORRISS MATH & ENGINEERING EL,TEXARKANA ISD,BOWIE COUNTY,KG-5,N,YES,406,15.3,3.0,4.7,70.7,22.2,2.6,92.7,95.9,58.3,A,A,A,A+,4
165901126,CARVER CENTER,MIDLAND ISD,MIDLAND COUNTY,1-6,N,NO,450,2.4,4.9,28.7,60.4,12.4,7.6,94.6,95.2,58.9,A,A,A,A+,5
246909125,CANYON CREEK EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,428,0.7,38.8,11.9,43.0,1.9,5.7,93.5,95.9,59.9,A,A,A,A+,6
101912039,T H ROGERS SCHOOL,HOUSTON ISD,HARRIS COUNTY,KG-12,N,YES,929,14.2,45.6,20.2,16.0,29.5,1.7,87.8,89.2,54.9,A,A,B,A+,7
92903117,HUDSON EL,LONGVIEW ISD,GREGG COUNTY,1-5,N,YES,617,19.1,4.2,15.9,54.3,26.3,3.2,87.6,90.3,52.5,A,A,B,A+,8
220919107,OLD UNION EL,CARROLL ISD,TARRANT COUNTY,EE-4,N,NO,463,1.5,11.4,10.6,71.3,3.7,3.7,89.8,94.1,58.3,A,A,A,A+,9
68901118,EL MAGNET AT REAGAN EL,ECTOR COUNTY ISD,ECTOR COUNTY,KG-5,N,YES,574,1.7,4.2,55.4,37.1,18.5,3.2,85.1,89.9,59.9,A,A,A,A+,10
101921112,CREEKSIDE FOREST EL,TOMBALL ISD,HARRIS COUNTY,KG-5,N,NO,553,1.4,10.3,28.4,55.2,1.1,6.5,87.8,94.1,61.7,A,A,A,A+,11
57909125,HILLSIDE ACAD FOR EXCEL,GARLAND ISD,DALLAS COUNTY,EE-5,N,YES,441,11.8,15.6,40.1,26.1,54.9,2.4,81.1,85.3,51.3,A,A,C,A+,12
79907135,COMMONWEALTH EL,FORT BEND ISD,FORT BEND COUNTY,KG-5,N,NO,792,4.3,65.2,7.1,20.3,1.3,1.0,89.0,92.4,62.2,A,A,A,A+,13
101912178,HORN EL,HOUSTON ISD,HARRIS COUNTY,EE-5,N,YES,846,6.3,28.3,17.0,43.7,13.6,3.7,85.3,91.4,58.5,A,A,A,A+,14
57903114,MCCOY EL,CARROLLTON-FARMERS BRANCH ISD,DALLAS COUNTY,KG-5,N,NO,436,11.9,33.0,26.4,22.7,36.5,8.9,77.4,90.4,56.1,A,A,A,A+,15
57909111,KIMBERLIN ACAD FOR EXCEL,GARLAND ISD,DALLAS COUNTY,EE-5,N,YES,490,18.2,8.6,31.8,35.3,36.5,2.7,84.8,83.3,54.4,A,A,B,A+,16
101912228,RIVER OAKS EL,HOUSTON ISD,HARRIS COUNTY,KG-5,N,YES,675,6.8,26.8,16.1,41.2,10.4,3.7,87.7,89.3,57.4,A,A,A,A+,17
43905138,MCSPEDDEN EL,FRISCO ISD,COLLIN COUNTY,KG-5,N,NO,653,2.8,72.0,3.1,19.4,0.8,5.4,87.6,91.8,60.0,A,A,A,A+,18
43901111,KERR EL,ALLEN ISD,COLLIN COUNTY,EE-6,N,NO,660,6.2,42.3,7.6,38.2,3.6,4.3,83.9,92.0,62.0,A,A,A,A+,19
101912255,WEST UNIVERSITY EL,HOUSTON ISD,HARRIS COUNTY,KG-5,N,NO,1272,2.4,19.9,10.0,63.1,1.4,4.3,90.7,88.2,58.9,A,A,A,A+,20
101828001,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,HOUSTON GATEWAY ACADEMY INC,HARRIS COUNTY,PK-12,Y,NO,845,0.8,0.2,97.8,0.8,90.5,8.2,64.1,89.5,53.2,A,A,B,A+,21
58905001,KLONDIKE ISD,KLONDIKE ISD,DAWSON COUNTY,EE-12,N,NO,259,0.8,0.8,34.0,62.9,35.1,13.8,72.6,89.6,58.8,A,A,A,A+,22
101862001,HARMONY SCIENCE ACADEMY-SUGAR LAND,HARMONY SCHOOL OF SCIENCE - HOUSTON,FORT BEND COUNTY,KG-6,Y,NO,769,25.2,41.0,14.8,17.4,53.8,5.9,74.7,80.7,59.2,A,A,A,A+,23
146903101,DEVERS EL,DEVERS ISD,LIBERTY COUNTY,EE-5,N,NO,135,3.7,0.0,31.1,63.7,43.7,5.6,73.7,89.5,52.2,A,A,B,A+,24
31906108,OLMITO EL,LOS FRESNOS CISD,CAMERON COUNTY,EE-5,N,NO,647,0.6,0.6,97.5,1.1,71.6,9.1,70.6,79.4,59.8,A,A,A,A+,25
246909116,LAUREL MOUNTAIN EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,786,0.9,53.6,7.4,32.3,3.1,5.1,85.4,90.0,60.2,A,A,A,A+,26
246909105,SPICEWOOD EL,ROUND ROCK ISD,TRAVIS COUNTY,KG-5,N,NO,825,0.8,32.6,12.5,49.1,5.7,3.1,84.9,88.7,59.8,A,A,A,A+,27
101813107,KIPP SHARP COLLEGE PREP,KIPP INC CHARTER,HARRIS COUNTY,EE-4,Y,NO,909,20.0,7.6,69.9,1.3,88.2,2.4,71.9,78.5,54.7,A,A,B,A+,28
57905134,GEORGE BANNERMAN DEALEY MONTESSORI,DALLAS ISD,DALLAS COUNTY,PK-6,N,YES,440,9.1,10.9,31.1,40.9,33.0,1.6,84.2,79.1,55.9,A,A,A,A+,29
220919103,WALNUT GROVE EL,CARROLL ISD,TARRANT COUNTY,KG-4,N,NO,664,3.3,19.6,8.6,64.2,1.8,3.5,87.0,90.4,56.7,A,A,A,A+,30
170902120,GALATAS EL,CONROE ISD,MONTGOMERY COUNTY,EE-4,N,NO,667,1.2,9.9,18.1,66.0,1.9,8.6,87.6,90.3,55.8,A,A,A,A+,31
79907147,CORNERSTONE EL,FORT BEND ISD,FORT BEND COUNTY,KG-5,N,NO,1087,2.9,77.5,5.1,9.7,2.8,4.1,85.0,89.6,59.4,A,A,A,A+,32
43910136,BEVERLY EL,PLANO ISD,COLLIN COUNTY,KG-5,N,NO,481,6.0,34.5,11.0,44.9,12.9,7.0,82.9,86.3,58.3,A,A,A,A+,33
57909122,WALNUT GLEN ACAD FOR EXCEL,GARLAND ISD,DALLAS COUNTY,EE-5,N,YES,437,18.3,16.5,36.2,21.7,55.6,5.2,72.8,80.9,57.2,A,A,A,A+,34
43901115,MARY EVANS EL,ALLEN ISD,COLLIN COUNTY,EE-6,N,NO,680,5.6,39.3,6.5,42.8,2.9,6.4,84.5,89.8,58.2,A,A,A,A+,35
220905171,TANGLEWOOD EL,FORT WORTH ISD,TARRANT COUNTY,EE-5,N,NO,845,3.1,7.8,8.3,76.1,5.2,6.1,88.0,84.7,58.3,A,A,A,A+,36
220919108,EUBANKS INT,CARROLL ISD,TARRANT COUNTY,5-6,N,NO,602,2.0,13.6,9.1,69.3,1.0,3.5,82.9,92.3,58.1,A,A,A,A+,37
246909132,CACTUS RANCH EL,ROUND ROCK ISD,WILLIAMSON COUNTY,KG-5,N,NO,995,1.9,35.0,11.9,46.5,1.0,3.8,85.7,89.9,57.4,A,A,A,A+,38
220919102,CARROLL EL,CARROLL ISD,TARRANT COUNTY,EE-4,N,NO,579,2.2,20.6,7.8,63.4,1.4,5.6,85.5,89.5,58.1,A,A,A,A+,39
61902136,CASTLE HILLS EL,LEWISVILLE ISD,DENTON COUNTY,KG-5,N,NO,672,3.9,28.9,7.6,54.0,2.2,2.4,83.9,90.6,57.7,A,A,A,A+,40
220919101,JACK D JOHNSON EL,CARROLL ISD,TARRANT COUNTY,KG-4,N,NO,610,2.0,22.0,8.7,62.3,2.1,5.0,83.9,91.9,55.6,A,A,A,A+,41
101920118,WILCHESTER EL,SPRING BRANCH ISD,HARRIS COUNTY,EE-5,N,NO,796,0.8,12.3,11.3,72.2,2.8,5.6,83.1,89.3,59.5,A,A,A,A+,42
57916123,PRAIRIE CREEK EL,RICHARDSON ISD,DALLAS COUNTY,EE-6,N,NO,346,3.2,2.9,8.4,82.9,5.2,3.3,85.2,87.1,57.6,A,A,A,A+,43
