Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - English I + II,% Meets Grade Level - Algebra I,Growth Score,SAT/ACT Participation Rate,Average SAT Total Score,Average ACT Total Score,AP/IB Participation Rate,AP/IB Pass Rate,Graduation Rate,Student Achievement Grade,Campus Performance Grade,Growth Grade,College Readiness Grade,C@R Grade,State Rank
101912026,DEBAKEY H S FOR HEALTH PROF,HOUSTON ISD,HARRIS COUNTY,9-12,N,YES,852,15.5,40.8,30.9,10.7,42.0,3.4,99.6,100.0,70.1,100.0,1910,28.6,89.9,95.3,98%,A,A,A,A,A+,1
57905026,SCHOOL OF SCIENCE AND ENGINEERING,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,418,11.2,12.2,59.6,13.6,67.2,0.7,99.0,NA,60.3,100.0,1908,29.3,100.0,94.9,99%,A,A,A,A,A+,2
57905039,SCHOOL FOR THE TALENTED AND GIFTED,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,261,10.3,18.4,33.7,35.6,36.8,0.8,100.0,NA,61.9,100.0,1956,29.6,100.0,97.5,97%,A,A,A,A,A+,3
57905035,IRMA LERMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,271,14.4,2.2,76.0,7.0,84.1,1.1,99.3,NA,55.8,100.0,1598,23.1,99.3,50.0,99%,A,A,A,A,A+,4
57905088,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,DALLAS ISD,DALLAS COUNTY,9-12,N,NO,425,9.4,0.7,88.0,1.2,86.6,6.3,98.2,97.4,66.8,100.0,1416,19.9,43.9,43.3,97%,A,A,A,A,A+,5
15907023,YOUNG WOMEN'S LEADERSHIP ACADEMY,SAN ANTONIO ISD,BEXAR COUNTY,6-12,N,NO,445,3.1,1.1,91.2,3.4,53.3,8.8,93.0,98.6,66.4,100.0,1659,23.1,98.6,31.9,98%,A,A,A,A,A+,6
57905090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,DALLAS ISD,DALLAS COUNTY,9-12,N,NO,237,13.1,1.3,82.3,3.4,82.7,0.0,98.5,100.0,57.9,100.0,1409,20.8,52.5,19.0,98%,A,A,A,A,A+,7
15916009,JUDSON EARLY COLLEGE ACADEMY,JUDSON ISD,BEXAR COUNTY,9-12,N,NO,455,17.8,5.3,51.6,20.0,43.7,3.5,96.8,100.0,71.1,100.0,1558,22.9,0.0,0.0,98%,A,A,A,B,A+,8
101912301,EASTWOOD ACADEMY,HOUSTON ISD,HARRIS COUNTY,9-12,N,NO,427,1.4,0.7,96.0,1.9,82.7,2.8,88.6,98.2,61.2,100.0,1478,23.1,78.2,41.6,99%,A,A,A,A,A+,9
31901008,BROWNSVILLE EARLY COLLEGE H S,BROWNSVILLE ISD,CAMERON COUNTY,9-12,N,NO,414,0.2,0.5,97.1,2.2,90.6,8.1,91.1,100.0,58.4,100.0,1409,20.5,2.1,75.0,99%,A,A,A,A,A+,10
15915006,HEALTH CAREERS H S,NORTHSIDE ISD,BEXAR COUNTY,9-12,N,YES,851,5.2,14.7,52.3,20.0,25.5,2.5,99.3,93.0,60.6,100.0,1644,25.3,78.8,62.8,98%,A,A,A,A,A+,11
57905033,SCHOOL OF BUSINESS AND MANAGEMENT,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,506,19.2,2.6,74.7,1.8,81.8,3.0,96.8,87.5,56.4,100.0,1406,19.0,86.0,35.6,97%,A,A,A,A,A+,12
