Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
57905057,WILLIAM B TRAVIS ACAD/VANGRD FOR ACADEMICALLY TAG,DALLAS ISD,DALLAS COUNTY,6-8,N,YES,297,7.4,8.8,23.2,57.2,27.6,1.4,99.0,99.5,74.9,A,A,A,A+,1
57905071,DALLAS ENVIRONMENTAL SCIENCE ACADEMY,DALLAS ISD,DALLAS COUNTY,6-8,N,YES,429,13.8,1.9,79.5,3.3,87.9,1.2,87.1,92.8,59.9,A,A,A,A+,2
57905356,IRMA RANGEL YOUNG WOMENS LEADERSHIP MIDDLE,DALLAS ISD,DALLAS COUNTY,6-8,N,YES,269,15.2,2.2,68.0,11.9,78.8,4.8,93.1,89.4,54.9,A,A,B,A+,3
15907023,YOUNG WOMEN'S LEADERSHIP ACADEMY,SAN ANTONIO ISD,BEXAR COUNTY,6-12,N,NO,445,3.1,1.1,91.2,3.4,53.3,8.8,87.2,89.7,66.4,A,A,A,A+,4
101912039,T H ROGERS SCHOOL,HOUSTON ISD,HARRIS COUNTY,KG-12,N,YES,929,14.2,45.6,20.2,16.0,29.5,1.7,87.8,89.2,54.9,A,A,B,A+,5
57905066,HARRY STONE MONTESSORI ACADEMY,DALLAS ISD,DALLAS COUNTY,6-8,N,YES,184,31.0,0.0,58.2,8.7,73.4,1.5,78.3,79.8,55.0,A,A,A,A+,6
57905073,HENRY W LONGFELLOW CAREER EXPLORATION ACADEMY,DALLAS ISD,DALLAS COUNTY,6-8,N,YES,417,9.6,1.4,77.9,9.6,87.1,1.4,74.1,79.3,56.5,A,A,A,A+,7
31916041,SOUTH TEXAS PREPARATORY ACADEMY,SOUTH TEXAS ISD,HIDALGO COUNTY,7-8,N,NO,567,1.4,13.1,77.1,7.6,40.0,2.1,79.2,74.4,73.4,A,A,A,A+,8
101920048,CORNERSTONE ACADEMY,SPRING BRANCH ISD,HARRIS COUNTY,6-8,N,NO,382,2.1,11.0,35.3,47.1,26.4,5.1,77.6,91.9,57.6,A,A,A,A+,9
101828001,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,HOUSTON GATEWAY ACADEMY INC,HARRIS COUNTY,PK-12,Y,NO,845,0.8,0.2,97.8,0.8,90.5,8.2,64.1,89.5,53.2,A,A,B,A+,10
58905001,KLONDIKE ISD,KLONDIKE ISD,DAWSON COUNTY,EE-12,N,NO,259,0.8,0.8,34.0,62.9,35.1,13.8,72.6,89.6,58.8,A,A,A,A+,11
101912071,PROJECT CHRYSALIS MIDDLE,HOUSTON ISD,HARRIS COUNTY,6-8,N,NO,267,0.0,3.4,94.8,1.9,88.4,0.8,68.5,82.1,55.2,A,A,A,A+,12
31916042,RISING SCHOLARS ACADEMY OF SOUTH TEXAS,SOUTH TEXAS ISD,CAMERON COUNTY,7-8,N,YES,448,0.9,7.1,81.9,9.4,43.8,8.6,74.6,76.1,71.2,A,A,A,A+,13
57905075,GEORGE BANNERMAN DEALEY INTERNATIONAL ACADEMY,DALLAS ISD,DALLAS COUNTY,7-8,N,YES,181,9.4,9.4,36.5,39.2,47.0,1.6,84.5,77.1,50.5,A,A,C,A+,14
101828002,HOUSTON GATEWAY ACADEMY INC ELITE COLLEGE PREP,HOUSTON GATEWAY ACADEMY INC,HARRIS COUNTY,PK-12,Y,NO,701,2.7,0.1,96.4,0.7,90.2,9.1,60.1,85.0,56.7,A,A,A,A+,15
57904043,CEDAR HILL COLLEGIATE ACADEMY,CEDAR HILL ISD,DALLAS COUNTY,6-8,N,NO,207,56.5,3.4,27.5,9.7,48.8,2.1,75.8,77.2,57.7,A,A,A,A+,16
101912057,LANIER MIDDLE,HOUSTON ISD,HARRIS COUNTY,6-8,N,YES,1423,11.5,16.7,33.9,32.5,26.1,4.4,81.7,80.7,56.4,A,A,A,A+,17
79907051,FORT SETTLEMENT MIDDLE,FORT BEND ISD,FORT BEND COUNTY,6-8,N,NO,1372,5.5,60.3,9.0,21.5,4.3,4.1,84.6,90.9,55.7,A,A,A,A+,18
71905018,YOUNG WOMEN'S LEADERSHIP ACADEMY,YSLETA ISD,EL PASO COUNTY,6-8,N,NO,231,1.7,1.3,91.8,4.3,51.1,0.0,81.1,74.6,51.3,A,A,C,A+,19
57910001,GRAND PRAIRIE FINE ARTS ACADEMY,GRAND PRAIRIE ISD,DALLAS COUNTY,6-12,N,NO,740,18.6,3.0,46.5,28.8,40.7,3.6,76.6,78.0,57.6,A,A,A,A+,20
43905048,FOWLER MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,1086,6.9,52.9,7.3,30.2,5.2,7.2,81.9,91.0,56.8,A,A,A,A+,21
101912390,ENERGIZED FOR STEM ACADEMY SOUTHWEST MIDDLE,HOUSTON ISD,HARRIS COUNTY,6-8,N,NO,230,9.6,0.0,89.1,1.3,65.7,5.4,61.4,78.9,67.3,A,A,A,A+,22
108807011,IDEA MCALLEN COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,HIDALGO COUNTY,6-11,Y,NO,598,0.0,1.2,95.3,3.3,86.8,3.0,65.5,74.8,59.9,A,A,A,A+,23
101912460,MANDARIN IMMERSION MAGNET SCHOOL,HOUSTON ISD,HARRIS COUNTY,PK-7,N,YES,545,18.2,34.1,17.4,19.6,22.9,1.7,79.7,80.2,57.5,A,A,A,A+,24
57905357,BARACK OBAMA MALE LEADERSHIP ACA AT BF DARRELL MID,DALLAS ISD,DALLAS COUNTY,6-8,N,YES,247,34.0,1.2,61.1,1.6,84.6,1.6,77.1,66.0,53.2,A,A,B,A+,25
57803041,UPLIFT EDUCATION-NORTH HILLS PREP MIDDLE,UPLIFT EDUCATION,DALLAS COUNTY,6-8,Y,NO,472,8.1,60.8,18.9,8.1,19.3,2.7,79.6,81.5,56.5,A,A,A,A+,26
43905054,VANDEVENTER MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,1066,6.0,43.2,6.0,42.2,4.5,3.0,81.6,87.5,56.7,A,A,A,A+,27
43910053,C M RICE MIDDLE,PLANO ISD,COLLIN COUNTY,6-8,N,NO,1101,3.1,67.3,5.3,21.2,5.6,4.9,83.3,85.2,55.4,A,A,A,A+,28
220919041,CARROLL MIDDLE,CARROLL ISD,TARRANT COUNTY,7-8,N,NO,688,2.2,14.4,9.6,69.3,1.5,3.2,83.1,90.8,51.3,A,A,C,A+,29
84902041,AUSTIN MIDDLE,GALVESTON ISD,GALVESTON COUNTY,5-8,N,NO,536,7.5,7.1,39.2,42.7,47.8,6.3,75.0,75.8,51.5,A,A,C,A+,30
43919041,WILLOW SPRINGS MIDDLE,LOVEJOY ISD,COLLIN COUNTY,7-8,N,NO,728,2.6,7.6,7.0,78.7,2.2,2.2,85.6,84.6,55.4,A,A,A,A+,31
57922042,COPPELL MIDDLE EAST,COPPELL ISD,DALLAS COUNTY,6-8,N,NO,982,4.3,52.4,10.9,29.8,8.0,5.7,74.5,90.3,56.9,A,A,A,A+,32
220919043,GEORGE DAWSON MIDDLE,CARROLL ISD,TARRANT COUNTY,7-8,N,NO,616,0.6,12.3,8.9,72.6,0.8,2.2,86.6,88.4,48.6,A,A,D,A+,33
15834001,BASIS SAN ANTONIO- SHAVANO CAMPUS,BASIS TEXAS,BEXAR COUNTY,6-12,Y,NO,758,2.6,39.1,28.6,24.7,9.8,13.9,78.4,84.7,57.0,A,A,A,A+,34
246909044,CANYON VISTA MIDDLE,ROUND ROCK ISD,TRAVIS COUNTY,6-8,N,NO,1369,2.6,38.9,14.5,39.7,10.0,6.9,79.1,85.3,54.0,A,A,B,A+,35
128904001,FALLS CITY H S,FALLS CITY ISD,KARNES COUNTY,7-12,N,NO,185,0.0,0.5,21.6,76.8,14.6,6.3,82.5,81.0,51.1,A,A,C,A+,36
246909052,JAMES GARLAND WALSH MIDDLE,ROUND ROCK ISD,WILLIAMSON COUNTY,6-8,N,NO,1688,4.7,17.6,19.1,55.0,8.7,4.3,76.3,86.5,55.8,A,A,A,A+,37
43905056,PEARSON MIDDLE,FRISCO ISD,COLLIN COUNTY,6-8,N,NO,689,5.4,29.6,9.3,52.2,2.0,5.9,81.7,83.8,57.5,A,A,A,A+,38
101914050,BECKENDORFF J H,KATY ISD,FORT BEND COUNTY,6-8,N,NO,1752,3.9,31.5,19.5,42.3,6.3,5.1,81.5,81.8,56.2,A,A,A,A+,39
57910011,GRAND PRAIRIE COLLEGIATE INSTITUTE,GRAND PRAIRIE ISD,DALLAS COUNTY,6-12,N,NO,269,26.4,3.3,52.4,15.6,57.6,2.7,69.4,69.7,58.6,A,A,A,A+,40
43905046,GRIFFIN MIDDLE,FRISCO ISD,DENTON COUNTY,6-8,N,NO,901,6.4,9.7,10.7,69.7,2.4,4.7,80.3,85.1,54.9,A,A,B,A+,41
101828101,HOUSTON GATEWAY ACADEMY,HOUSTON GATEWAY ACADEMY INC,HARRIS COUNTY,PK-12,Y,NO,667,3.0,0.0,96.4,0.6,95.7,11.9,57.1,74.5,57.0,A,A,A,A+,42
220905081,YOUNG WOMEN'S LEADERSHIP ACADEMY,FORT WORTH ISD,TARRANT COUNTY,6-12,N,NO,399,27.8,2.0,61.9,6.5,61.9,6.0,69.2,66.7,59.5,A,A,A,A+,43
101921044,CREEKSIDE PARK J H,TOMBALL ISD,HARRIS COUNTY,6-8,N,NO,596,2.9,7.0,42.4,44.6,7.4,0.0,77.8,85.0,53.2,A,A,B,A+,44
152901024,TALKINGTON SCHOOL FOR YOUNG WOMEN LEADERS,LUBBOCK ISD,LUBBOCK COUNTY,6-12,N,YES,453,15.9,2.2,42.4,36.2,47.5,3.3,69.2,74.0,54.1,A,A,B,A+,45
108911041,B L GRAY J H,SHARYLAND ISD,HIDALGO COUNTY,7-8,N,NO,753,0.8,2.0,93.6,3.3,55.5,6.6,65.2,76.0,53.6,A,A,B,A+,46
79907050,SARTARTIA MIDDLE,FORT BEND ISD,FORT BEND COUNTY,6-8,N,NO,1298,8.0,54.1,11.9,23.2,8.8,4.9,75.7,84.4,55.2,A,A,A,A+,47
220810001,WESTLAKE ACADEMY,WESTLAKE ACADEMY CHARTER SCHOOL,TARRANT COUNTY,KG-12,Y,NO,843,4.5,12.0,12.6,64.8,0.0,4.6,78.8,85.8,57.0,A,A,A,A+,48
108807009,IDEA EDINBURG COLLEGE PREPARATORY,IDEA PUBLIC SCHOOLS,HIDALGO COUNTY,6-12,Y,NA,688,0.7,1.0,95.3,2.9,84.7,4.3,58.8,72.1,57.0,A,A,A,A+,49
152802101,RISE ACADEMY,RISE ACADEMY,LUBBOCK COUNTY,PK-8,Y,NO,274,69.0,0.0,27.4,1.1,87.6,14.9,66.3,67.4,52.2,A,A,B,A+,50
101912337,PIN OAK MIDDLE,HOUSTON ISD,HARRIS COUNTY,6-8,N,YES,1239,8.1,12.3,33.1,43.5,29.5,1.1,75.6,74.0,52.0,A,A,B,A+,51
101862002,HARMONY SCHOOL OF INNOVATION-SUGAR LAND,HARMONY SCHOOL OF SCIENCE - HOUSTON,FORT BEND COUNTY,6-12,Y,NO,924,20.2,43.4,20.2,15.2,44.2,4.9,70.4,71.4,54.8,A,A,B,A+,52
101914054,TAYS J H,KATY ISD,FORT BEND COUNTY,6-8,N,NO,1377,6.7,27.7,24.1,38.9,5.7,0.0,79.5,80.0,56.2,A,A,A,A+,53
43905044,PIONEER HERITAGE MIDDLE,FRISCO ISD,DENTON COUNTY,6-8,N,NO,813,6.4,26.0,11.2,52.9,3.2,4.0,78.7,82.3,56.2,A,A,A,A+,54
57911041,HIGHLAND PARK MIDDLE,HIGHLAND PARK ISD,DALLAS COUNTY,7-8,N,NO,1113,0.6,6.4,5.0,85.7,0.0,2.2,81.5,83.7,52.5,A,A,B,A+,55
57922044,COPPELL MIDDLE NORTH,COPPELL ISD,DALLAS COUNTY,6-8,N,NO,940,3.6,33.7,15.0,43.8,8.6,4.6,74.5,81.0,57.8,A,A,A,A+,56
