,apartment Name,Zip code,Rating,latitude,longitude
0,Polaris on the Park,78741,4.5,30.2204501,-97.7445653
1,Easton Hills Apartments,78741,4.5,30.234663,-97.731773
2,The Oaks,78704,4.5,30.236872817929,-97.7570933147326
3,First Call Properties,78745,4.5,30.229017,-97.788482
4,Montecito,78741,2.0,30.22356,-97.74197
5,Establishment,78704,3.0,30.231029,-97.765576
6,Nu Edge Realty,78704,5.0,30.226017,-97.761842
7,Grace Woods,78741,2.5,30.2243626,-97.746238
8,Whisper Hollow,78741,3.0,30.222545,-97.742586
9,Burl North,78741,5.0,30.228074,-97.735073
10,Berkshire SoCo,78704,2.0,30.22519,-97.76192
11,Forest Creek Village Apts,78704,4.0,30.2284955277456,-97.7461077894409
12,Chandelier,78741,2.5,30.22801,-97.7329
13,Hillside Creek,78741,3.0,30.23292,-97.73739
14,South Congress Commons,78704,2.0,30.22886,-97.7621
15,The District at Soco,78704,3.0,30.236616,-97.751599
16,Algarita,78704,2.5,30.23674,-97.74197
17,Blunn Creek Apartments,78704,1.0,30.22538,-97.7521299
18,The Social Apartments,78741,2.0,30.230614,-97.736895
19,The Davis SoCo Apartments,78704,3.0,30.2256048470736,-97.7623779326677
20,SEVEN Apartments,78701,4.0,30.2705843,-97.7490549
21,21 Rio,78705,4.0,30.28428,-97.74473
22,The Ruckus,78705,4.5,30.2896217,-97.7433355
23,Residology Furnished Suites,78701,5.0,30.2707290649414,-97.7432250976563
24,The Beverly Apartments,78701,4.0,30.2696017,-97.7355447
25,The Millennium Rainey St,78701,4.5,30.2601661682129,-97.7379379272461
26,The Brown Building,78701,5.0,30.27011,-97.74364
27,Eleven by Windsor,78702,3.5,30.269297,-97.73195
28,AMLI Downtown,78701,4.0,30.2650869637728,-97.7465119957924
29,The Catherine,78704,4.0,30.2590325474739,-97.7471530437469
30,Congress Square Apartments,78704,5.0,30.2566871643066,-97.7482528686523
31,Skyloft,78705,2.5,30.2863256328722,-97.74350713366
32,Ashton Austin,78701,4.0,30.26371,-97.7457
33,West 24th Street Properties,78705,5.0,30.2888622283936,-97.752067565918
34,Villa Nueces,78705,5.0,30.28545,-97.74365
35,Park Terrace Apartments,78704,4.5,30.25949,-97.75662
36,Windsor on the Lake,78701,4.0,30.25613,-97.73941
37,Whitley Apartments,78701,3.5,30.2650137348354,-97.7422456350588
38,Indie,78702,5.0,30.26263,-97.7248
39,The Bowie,78703,3.5,30.2692966,-97.753153
40,7East Apartments,78702,4.0,30.2615966796875,-97.7198181152344
41,Alexan E6,78702,5.0,30.2596814358705,-97.7173832058907
42,Platform Apartments,78702,4.5,30.28114,-97.71041
43,Indie,78702,5.0,30.26263,-97.7248
