,apartment Name,Zip code,Rating,latitude,longitude
0,ATX Food Mart,78704,4.5,30.2324791,-97.7589722
1,South Congress H‑E‑B,78704,3.0,30.23873,-97.75515
2,Walmart Supercenter,78704,2.0,30.2210485,-97.7540937
3,Whip In,78704,4.0,30.2379359562403,-97.7394390106201
4,La Moreliana Meat Market,78704,4.0,30.22799,-97.7616199
5,J & H Metromart,78741,5.0,30.2158508300781,-97.7342300415039
6,Walmart Supercenter,78701,1.5,30.2221917410368,-97.7591969694336
7,Independence Brewing,78744,4.0,30.211188,-97.736077
8,Pleasant Valley Market,78744,3.0,30.19345,-97.74415
9,Trader Joe's,78701,4.5,30.2678144660974,-97.7525771045418
10,Whole Foods Market,78703,4.0,30.270814679839,-97.7531790382672
11,Royal Blue Grocery - Congress Ave,78701,4.0,30.26831,-97.74227
12,Royal Blue Grocery,78701,4.0,30.2648833830045,-97.7418504265368
13,Royal Blue Grocery,78701,4.0,30.265616,-97.7459139
14,The Bee Grocery,78702,4.0,30.2650698205106,-97.7323900108379
15,Fresh Plus Grocery,78705,4.0,30.288525,-97.747467
16,Green & White Grocery,78702,5.0,30.26503,-97.73003
17,Royal Blue Grocery - Rainey Street,78701,4.0,30.2573224430822,-97.7391691334457
18,Fresh Plus Grocery,78703,4.0,30.28084,-97.75843
19,Royal Blue Grocery,78701,4.0,30.26744,-97.74941
20,Quickie Pickie,78702,3.5,30.268796,-97.727235
21,Hummusphere Foods,78708,4.5,30.267153,-97.7430608
22,Second Street Market,78701,2.5,30.26369,-97.74193
23,Dobie Market,78705,4.5,30.28362,-97.74163
24,Royal Blue Grocery,78702,3.0,30.2624118564119,-97.7251811367381
25,SFC Farmers' Market Downtown,78701,4.0,30.267426,-97.746331
26,El Milagro Tortillas,78702,5.0,30.2662092,-97.7326803
27,Lonestar Souvenir & Food Mart,78701,1.5,30.26703,-97.73792
28,The Austin Wine Merchant,78701,4.5,30.2696105,-97.7479269
29,H-E-B Grocery Store,78702,2.5,30.26048,-97.71157
30,The Bee Grocery,78702,4.0,30.2650698205106,-97.7323900108379
31,Green & White Grocery,78702,5.0,30.26503,-97.73003
32,Native Grocery,78702,4.5,30.26114,-97.7041
33,Royal Blue Grocery,78702,3.0,30.2624118564119,-97.7251811367381
34,Quickie Pickie,78702,3.5,30.268796,-97.727235
35,Quickie Pickie - East Cesar Chavez Street,78702,3.5,30.25606,-97.72236
36,Mlk Food Store,78702,4.5,30.28175,-97.70777
37,La Michoacana Meat Market,78702,4.0,30.2620391845703,-97.7212753295898
38,East 1st Grocery,78702,4.0,30.25709,-97.72487
39,White Mountain Foods,78702,5.0,30.25434,-97.70557
40,The Bread Basket Food Store,78702,4.5,30.25522,-97.7303699
41,Wells Food Store,78702,3.5,30.2701324062582,-97.7182789535635
42,El Milagro Tortillas,78702,5.0,30.2662092,-97.7326803
43,HOPE Farmers Market,78702,4.0,30.2619,-97.72724
44,Arlan's Market,78702,2.5,30.271918,-97.69833
45,H-E-B Pharmacy,78702,2.0,30.2594680786133,-97.7115097045898
46,Quick Stop Grocery,78702,3.5,30.2755241394043,-97.7075042724609
47,Boggy Creek Farm,78702,4.5,30.2625770568848,-97.7010955810547
48,Longhorn Meat Market,78702,4.0,30.28052,-97.7155
49,Fresh Plus Grocery,78705,4.0,30.288525,-97.747467
50,Fresh Plus Grocery,78703,4.0,30.28084,-97.75843
51,Whole Foods Market,78703,4.0,30.270814679839,-97.7531790382672
52,Trader Joe's,78701,4.5,30.2678144660974,-97.7525771045418
53,Rabbit Food Grocery,78703,5.0,30.2976016,-97.7673076
54,Randalls Food & Pharmacy,78703,3.0,30.2837650538274,-97.7758153713565
55,Royal Blue Grocery - Congress Ave,78701,4.0,30.26831,-97.74227
56,Royal Blue Grocery,78701,4.0,30.265616,-97.7459139
57,Clarksville Market,78703,5.0,30.27901,-97.75972
58,Orange Market,78705,5.0,30.2896180073127,-97.7475428517821
59,Royal Blue Grocery,78701,4.0,30.26744,-97.74941
60,West Campus Market,78705,3.5,30.2851556436028,-97.7463495118539
61,SFC Farmers' Market Downtown,78701,4.0,30.267426,-97.746331
62,Hummusphere Foods,78708,4.5,30.267153,-97.7430608
63,Nau's Enfield Drug,78703,3.5,30.27998,-97.759
64,The Austin Wine Merchant,78701,4.5,30.2696105,-97.7479269
65,Snap Kitchen,78703,4.5,30.27193,-97.75454
66,Whole Foods Market,78703,3.5,30.2706904543262,-97.7536770096564
67,Congress Avenue Grocery,78701,4.0,30.26507,-97.7436218
68,Johnson's Backyard Garden,78742,4.0,30.237112,-97.654575
69,RiverCity Market,78704,4.0,30.240873,-97.752353
70,David's Food,78704,4.5,30.2484245300293,-97.7616577148438
71,South Congress H‑E‑B,78704,3.0,30.23873,-97.75515
72,Bluebonnet Food Mart,78704,4.5,30.2545032501221,-97.7719192504883
73,Farm to Market Grocery,78758,3.5,30.24647,-97.75109
74,ATX Food Mart,78704,4.5,30.2324791,-97.7589722
75,Thom's Market,78704,4.5,30.26165,-97.7596499
76,Lamar Food Store,78704,5.0,30.2542095184326,-97.7630615234375
77,Barton Hills Market,78704,4.0,30.26169,-97.77508
78,Artista Rosso,78704,4.5,30.2550006935594,-97.7624370888855
79,Barton Creek Farmers Market,78704,4.0,30.246689,-97.776634
80,Walgreens,78704,3.0,30.2460708618164,-97.7776489257812
81,Pecan Food Mart,78704,3.5,30.24474,-97.75732
82,Big Top Candy Shop,78704,4.5,30.24686,-97.75097
83,Martin's Wellness Lamar Plaza Pharmacy,78704,4.5,30.25177,-97.76409
84,The Austinite Market,78704,3.5,30.25994,-97.75542
85,La Moreliana Meat Market,78704,4.0,30.22799,-97.7616199
86,Freggies,98166,3.5,47.46656,-122.34241
87,WhichCraft Beer Store,78704,4.5,30.2482809,-97.7714341
88,Cantu's Mexican Imports/Lee's Healing Center,78704,5.0,30.2501602,-97.7550964
89,Wheatsville Food Coop,78705,4.5,30.297615041948,-97.7411398883378
90,Fresh Plus Grocery,78705,4.0,30.288525,-97.747467
91,Central Market - N Lamar,78756,4.0,30.3074850921061,-97.7404153347015
92,Natural Grocers,78751,4.0,30.30425,-97.73681
93,Fresh Plus Grocery,78751,4.0,30.3049913366415,-97.7263676075461
94,Orange Market,78705,5.0,30.2896180073127,-97.7475428517821
95,Speedway Grocery,78705,4.5,30.30017,-97.73347
96,Speedway Foodmart,78705,3.5,30.29519,-97.73654
97,Fresh Plus Grocery,78703,4.0,30.28084,-97.75843
98,Randalls,78703,3.0,30.3067073822021,-97.7490692138672
99,Avenue B Grocery,78751,4.0,30.30904,-97.73142
100,Dobie Market,78705,4.5,30.28362,-97.74163
101,West Campus Market,78705,3.5,30.2851556436028,-97.7463495118539
102,Red River Market,78705,3.0,30.29173,-97.72658
103,Lee's Meat Market,78798,4.0,30.3084854393881,-97.7506077289581
104,Junior's Beer and Wine,78705,4.0,30.2959412,-97.7442119
105,Fricano's Deli,78705,4.5,30.288094,-97.742851
106,Teji's Indian Restaurant and Grocery,78705,3.5,30.2839763948773,-97.7421483663718
107,Hyde Park Market,78751,4.0,30.30669,-97.72445
108,CVS Pharmacy,78705,2.0,30.28558,-97.74209
109,Whole Foods Market,78758,4.0,30.406302,-97.720033
110,Borderless European Market,78758,4.0,30.379474,-97.712585
111,Ez Stop,78758,4.0,30.3829,-97.69435
112,Oak Farms Dairy,78758,1.5,30.377908706665,-97.711784362793
113,Gracy Food Mart,78758,3.0,30.4070841448049,-97.7132601724203
114,Whole Foods Market,78749,4.0,30.2204485173685,-97.8419867329404
115,Randalls Food & Pharmacy,78749,3.0,30.2225942006642,-97.8362502874785
116,Walgreens,78749,2.5,30.2306594848633,-97.864128112793
117,CVS Pharmacy,78749,2.5,30.218552,-97.836427
