,Zipcode,avgsaleprice,medsaleprice,homesalecount
0,78732,365310.0,372206.0,8.0
1,78756,470000.0,470000.0,1.0
2,78737,379500.0,379500.0,1.0
3,78733,405000.0,405000.0,1.0
4,78722,311500.0,311500.0,1.0
5,78746,687126.0,865631.0,5.0
6,78748,319755.0,271852.0,5.0
7,78702,187061.0,179873.0,4.0
8,78741,174533.0,210600.0,3.0
9,78744,165278.0,160000.0,9.0
10,78702,187061.0,179873.0,4.0
11,78759,256167.0,299500.0,3.0
12,78750,275181.0,275181.0,2.0
13,78723,208304.0,256000.0,5.0
14,78728,210355.0,210355.0,1.0
15,78723,208304.0,256000.0,5.0
16,78748,319755.0,271852.0,5.0
17,78724,127127.0,138250.0,12.0
18,78703,760083.0,580250.0,6.0
19,78727,260075.0,264000.0,3.0
20,78731,490880.0,555000.0,3.0
21,78745,214250.0,214250.0,2.0
22,78745,214250.0,214250.0,2.0
23,78745,214250.0,214250.0,2.0
24,78723,208304.0,256000.0,5.0
25,78752,206616.0,182591.0,4.0
26,78703,760083.0,580250.0,6.0
27,78704,692300.0,680100.0,4.0
28,78737,379500.0,379500.0,1.0
29,78739,401914.0,401914.0,2.0
30,78727,260075.0,264000.0,3.0
31,78739,401914.0,401914.0,2.0
32,78745,214250.0,214250.0,2.0
33,78748,319755.0,271852.0,5.0
34,78753,145037.0,148612.0,3.0
35,78733,405000.0,405000.0,1.0
36,78704,692300.0,680100.0,4.0
37,78741,174533.0,210600.0,3.0
38,78704,692300.0,680100.0,4.0
39,78745,214250.0,214250.0,2.0
40,78738,454797.0,431240.0,8.0
41,78702,187061.0,179873.0,4.0
42,78723,208304.0,256000.0,5.0
43,78744,165278.0,160000.0,9.0
44,78734,242119.0,207608.0,9.0
45,78754,166708.0,180000.0,6.0
46,78749,337469.0,337469.0,2.0
47,78749,337469.0,337469.0,2.0
48,78731,490880.0,555000.0,3.0
49,78753,145037.0,148612.0,3.0
50,78753,145037.0,148612.0,3.0
51,78757,328000.0,328000.0,2.0
52,78746,687126.0,865631.0,5.0
53,78702,187061.0,179873.0,4.0
54,78752,206616.0,182591.0,4.0
55,78703,760083.0,580250.0,6.0
56,78757,328000.0,328000.0,2.0
57,78722,311500.0,311500.0,1.0
58,78726,380968.0,380968.0,2.0
59,78732,365310.0,372206.0,8.0
60,78759,256167.0,299500.0,3.0
61,78745,214250.0,214250.0,2.0
62,78756,470000.0,470000.0,1.0
63,78748,319755.0,271852.0,5.0
64,78703,760083.0,580250.0,6.0
65,78759,256167.0,299500.0,3.0
66,78701,406191.0,406191.0,1.0
67,78746,687126.0,865631.0,5.0
68,78717,205419.0,214258.0,3.0
69,78752,206616.0,182591.0,4.0
70,78753,145037.0,148612.0,3.0
71,78736,76001.0,76001.0,1.0
72,78717,205419.0,214258.0,3.0
73,78728,210355.0,210355.0,1.0
74,78741,174533.0,210600.0,3.0
75,78739,401914.0,401914.0,2.0
76,78722,311500.0,311500.0,1.0
77,78758,168091.0,158726.0,5.0
78,78753,145037.0,148612.0,3.0
79,78749,337469.0,337469.0,2.0
80,78748,319755.0,271852.0,5.0
81,78747,199643.0,177900.0,4.0
82,78745,214250.0,214250.0,2.0
