YEAR,Texas,US,Austin
1850,212592,23191876,629
1860,604215,31443321,3494
1870,818579,38558371,4428
1880,1591749,50189209,11013
1890,2235527,62979766,14575
1900,3048710,76212168,22258
1905,3459000,83820000,25299
1910,3896542,92228496,29860
1915,4368000,100549000,32368
1920,4663228,106021537,34876
1925,5332000,115832000,42174
1930,5824715,123202624,53120
1935,6123000,127250000,60082
1940,6414824,132164569,87930
1945,6826000,132481000,101289
1950,7711194,151325798,132459
1955,8660000,165069000,159502
1960,9579677,179323175,186545
1961,9820000,182973000,194940
1962,10053000,185738000,201762
1963,10159000,188438000,205394
1964,10270000,191085000,208475
1965,10378000,193460000,214117
1966,10492000,195501000,218981
1967,10599000,197374000,223981
1968,10819000,199312000,234375
1969,11045000,201306000,244074
1970,19673000,203211926,251808
1975,12568843,215465255,302500
1980,14229191,226545805,345890
1985,16272734,237923795,417033
1990,16986335,248765170,465622
1995,18679706,262803276,526128
2000,20851820,281421906,656562
2005,22928508,296507061,700407
2010,25145561,308745538,790390
2011,25674681,311591917,812025
2012,26059203,313914040,832326
2013,26448193,316128839,855215
2014,26956958,318857056,878733
2015,27469114,321418820,900701
2016,27862596,323127513,926426
