,barName,Zip code,barRating,barlatitude,barlongitude
0,Hideaway Kitchen & Bar,78744,4.5,30.21165,-97.75281
1,Crow Bar,78704,3.5,30.23134,-97.75961
2,St Elmo Brewing Company,78745,4.5,30.2174492910035,-97.7610477949677
3,Rewind,78741,3.0,30.4758816,-97.6731567
4,Warehouse Billiard Bar,78704,3.5,30.2185592651367,-97.757682800293
5,Cosmic Coffee + Beer Garden,78704,4.5,30.2274,-97.76272
6,Spokesman,78745,4.5,30.2164715,-97.7618791
7,Whip In,78704,4.0,30.2379359562403,-97.7394390106201
8,The 04 Lounge,78704,3.5,30.2257133520068,-97.762843803094
9,Toss Pizzeria & Pub,78704,4.0,30.2363363,-97.762862
10,Clicks Billiards,78741,3.0,30.2300090789795,-97.7326126098633
11,Opal Divines Austin Grill,78704,3.5,30.23571,-97.74075
12,Café Crème,78741,4.5,30.23187,-97.73568
13,El Jacalito Restaurant,78741,3.0,30.2307,-97.73214
14,Tarbouch Lebanese Grill & Hookah,78704,4.0,30.2371318596233,-97.7496900781989
15,Firehouse Lounge,78701,4.5,30.268173,-97.741043
16,The Roosevelt Room,78701,4.5,30.2677,-97.74627
17,Edge Rooftop Pool Bar,78701,5.0,30.2643864129296,-97.7436428743045
18,She's Not Here,78701,4.0,30.2656463300085,-97.7483603730798
19,The Good Life Bar Bar,78701,4.5,30.2665700053185,-97.7415906351087
20,HandleBar,78701,4.0,30.26661,-97.74204
21,Dive Bar and Lounge,78701,4.5,30.2798841,-97.7421312
22,Mugshots,78701,4.5,30.2676,-97.73849
23,Nickle City,78702,4.0,30.26856,-97.7281
24,Midnight Cowboy,78701,4.0,30.266983,-97.740028
25,The Jackalope,78701,4.0,30.26732,-97.73892
26,Small Victory,78701,4.5,30.2689112,-97.7416833
27,Garage,78701,4.0,30.2676758046831,-97.7440973042297
28,Azul Rooftop Pool Bar + Lounge,78701,4.5,30.266635,-97.740319
29,Mort Subite,78701,4.5,30.265719,-97.7439904
30,Academia,78701,4.5,30.2668741300305,-97.7453676983714
31,The Market and Tap Room,78701,4.0,30.2663307,-97.7447205
32,The Townsend,78701,4.0,30.26978,-97.74263
33,Pour Choices,78701,4.0,30.2669479091807,-97.73925183345
34,The Driskill Bar,78701,4.0,30.26807,-97.74168
35,Whisler's,78702,4.5,30.2619673762692,-97.7226847531614
36,Gotham,78702,4.5,30.25889,-97.7258
37,Nickle City,78702,4.0,30.26856,-97.7281
38,The Lost Well,78702,4.5,30.262714805058,-97.7145181439692
39,Kitty Cohen's,78702,4.0,30.2618179321289,-97.7163848876953
40,Attabar,78702,4.5,30.26429,-97.7292
41,Full Circle Bar,78702,4.5,30.27392,-97.72037
42,Apt 115,78702,5.0,30.2616,-97.71982
43,Gourmands Neighborhood Pub,78702,4.0,30.26265,-97.71539
44,The Wheel,78702,4.5,30.280246473018,-97.7208685643035
45,Violet Crown Social Club,78702,4.5,30.26426,-97.73078
46,Stay Gold,78702,4.0,30.2570762634277,-97.7237091064453
47,The Liberty,78702,4.0,30.2626674,-97.7251338
48,Yellow Jacket Social Club,78702,4.0,30.26159,-97.72456
49,St. Roch's Bar,78702,4.0,30.25862,-97.7146099
50,Revelry Kitchen + Bar,78702,4.5,30.2637173006037,-97.7277220894538
51,Hi Hat Public House,78702,4.5,30.26023,-97.71893
52,King Bee Lounge,78702,4.5,30.2740546417273,-97.7197040731558
53,Craftsman,78702,3.5,30.25692,-97.7234
54,Hard Luck Lounge,78702,4.5,30.2564602,-97.701889
55,She's Not Here,78701,4.0,30.2656463300085,-97.7483603730798
56,The Roosevelt Room,78701,4.5,30.2677,-97.74627
57,The Mean Eyed Cat,78703,4.0,30.27452,-97.76496
58,Nightcap,78703,4.0,30.27371,-97.76045
59,Deep Eddy Cabaret,78703,4.5,30.2778909,-97.7724955
60,Donn's Depot,78703,4.5,30.27413,-97.76333
61,Tiniest Bar in Texas,78703,4.0,30.2694944344825,-97.7531080700845
62,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
63,Parlor and Yard,78701,4.0,30.26946,-97.74875
64,Mort Subite,78701,4.5,30.265719,-97.7439904
65,Academia,78701,4.5,30.2668741300305,-97.7453676983714
66,Cover 3,78703,4.0,30.2761773651651,-97.7656084588242
67,The Market and Tap Room,78701,4.0,30.2663307,-97.7447205
68,Garage,78701,4.0,30.2676758046831,-97.7440973042297
69,The Secret Bar,78701,3.5,30.26535,-97.74671
70,Better Half Coffee & Cocktails,78703,4.0,30.27137,-97.75839
71,Rustic Tap,78701,4.0,30.269679,-97.749197
72,Roscoe's Bar,78705,4.0,30.2886981964111,-97.748176574707
73,Boiler Nine,78701,4.0,30.266862,-97.752903
74,Irene's,78701,4.0,30.269838,-97.751213
75,One-2-One Bar,78704,4.5,30.2519187927246,-97.7635116577148
76,Corner Bar,78704,3.5,30.249415,-97.766958
77,Aviary Wine & Kitchen,78704,4.5,30.24824,-97.7715
78,Mattie's,78704,4.0,30.244963,-97.762289
79,The Golden Goose,78704,3.5,30.2492562575998,-97.7689180730169
80,Crow Bar,78704,3.5,30.23134,-97.75961
81,Jade Room,78704,3.5,30.243746,-97.752289
82,Watertrade,78704,5.0,30.2473650623443,-97.75011587888
83,Gibson Bar,78704,3.5,30.25502,-97.76177
84,Continental Club,78704,4.0,30.2504978179932,-97.7490234375
85,C-Boys Heart & Soul,78704,4.0,30.243746,-97.752289
86,Eberly,78704,4.0,30.2587887974766,-97.7587449596709
87,Odd Duck,78704,4.5,30.25452,-97.762064
88,Lenoir,78704,4.0,30.24686,-97.75586
89,Black Sheep Lodge,78704,3.5,30.24837,-97.77118
90,SquareRut Kava Bar,78704,4.5,30.2619680504078,-97.7618099749088
91,G&S Lounge,78704,3.0,30.24135,-97.76046
92,Winebelly,78704,4.0,30.24141,-97.75892
93,Toss Pizzeria & Pub,78704,4.0,30.2363363,-97.762862
94,Loro,78704,4.0,30.24775,-97.77127
95,Hole in the Wall,78705,4.0,30.29005,-97.74161
96,Back Lot,78705,5.0,30.30189,-97.73936
97,Growler USA - Austin,78705,4.5,30.2955795,-97.7434722
98,Dive Bar and Lounge,78701,4.5,30.2798841,-97.7421312
99,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
100,Crown and Anchor Pub,78705,4.0,30.2924600026945,-97.7357137160887
101,Love Goat,78705,3.5,30.29283,-97.7417399
102,Draught House Pub & Brewery,78756,4.5,30.31098,-97.74283
103,Spider House Ballroom,78705,4.0,30.2953743,-97.7420442
104,Spider House Cafe & Ballroom,78705,3.5,30.295505,-97.741761
105,The Local Pub and Patio,78705,3.5,30.2915658,-97.7414793
106,The Drag Bar,78705,3.5,30.28708,-97.74186
107,Roscoe's Bar,78705,4.0,30.2886981964111,-97.748176574707
108,Cain and Abel's,78705,3.0,30.28768,-97.74448
109,Cactus Cafe,78713,4.5,30.2861233893208,-97.7410697937012
110,The Rooftop Bar,78705,2.0,30.29283,-97.7417399
111,Freedmen's,78705,4.0,30.288439,-97.747897
112,Posse East,78705,4.0,30.29142,-97.73465
113,Guild,78756,3.5,30.3060027879118,-97.7431749925017
114,Vino Vino,78751,4.0,30.3069966,-97.7352997
115,Detour,78758,3.5,30.39442,-97.72019
116,Yard House,78758,4.0,30.4053,-97.72308
117,Jack & Gingers,78758,3.5,30.4011283513491,-97.7228807096988
