,Restaurant_Name,Zip code,Restaurant_Rating,Restaurant_latitude,Restaurant_longitude
0,Hideaway Kitchen & Bar,78744,4.5,30.21165,-97.75281
1,Austin Rotisserie,78704,5.0,30.2274,-97.76272
2,Jewhungry?,78704,5.0,30.22565,-97.76274
3,Cabo Bob's Burritos,78704,4.5,30.2209809152295,-97.756928435967
4,888 Pan Asian Restaurant,78741,4.0,30.2296193570823,-97.7299686863661
5,Soursop,78745,4.5,30.216,-97.76183
6,The Limestone Kitchen Restaurant & Lounge,78744,3.5,30.210602,-97.753472
7,Poke-Poke,78704,4.0,30.2318,-97.75932
8,Whip In,78704,4.0,30.2379359562403,-97.7394390106201
9,Onion Creek Grille,78744,3.0,30.2144718170166,-97.7506256103516
10,Toss Pizzeria & Pub,78704,4.0,30.2363363,-97.762862
11,Mi Cabana,78745,4.0,30.2149397134781,-97.7530357986689
12,Texas Ranch BBQ,78704,4.5,30.22661,-97.76223
13,Courson's BBQ,78704,4.5,30.2184207,-97.7577561
14,V's Southeast Munchiez,73301,4.5,30.2200984954834,-97.7490463256836
15,Het Say Vietnamese Kitchen,78741,4.5,30.23015,-97.73257
16,Spokesman,78745,4.5,30.2164715,-97.7618791
17,El Borrego De Oro,78704,4.0,30.2242723720297,-97.7634823322296
18,Taste of Ethiopia,78704,4.5,30.2259650875173,-97.7619186684117
19,Smart Flour Foods,78744,4.5,30.2124977111816,-97.7427444458008
20,Taqueria Peloncitos,78744,5.0,30.19279,-97.73865
21,La Placita,78744,4.0,30.19468,-97.74511
22,El Regio,78744,4.0,30.19345,-97.74415
23,Domino's Pizza,78744,4.0,30.1920884765049,-97.738593108952
24,Pleasant Valley Market,78744,3.0,30.19345,-97.74415
25,Sonic Drive-In,78744,2.5,30.1929624913091,-97.7394054830074
26,Church's Chicken,78744,2.0,30.19231,-97.73861
27,Roaring Fork,78701,4.0,30.2691040039062,-97.7419586181641
28,Second Bar + Kitchen,78701,4.0,30.2645939290629,-97.7444895054345
29,CAVA,78701,5.0,30.26721,-97.74296
30,Austin Taco Project,78701,4.0,30.26506,-97.73862
31,Corner,78701,4.0,30.264545,-97.74329
32,Easy Tiger,78701,4.0,30.2658004760742,-97.7356872558594
33,True Food Kitchen,78701,4.5,30.2672474,-97.7520856
34,Moonshine Patio Bar & Grill,78701,4.5,30.26386,-97.73796
35,Stella San Jac,78701,4.0,30.2665762751589,-97.740525726058
36,The Hightower,78702,4.0,30.264821,-97.729488
37,"Truluck's Seafood, Steak and Crab House",78701,4.5,30.26683,-97.74502
38,Sophia's,78701,4.0,30.26955,-97.74751
39,The Backspace,78701,4.0,30.26685,-97.74043
40,The Grub House,78701,4.5,30.2674408,-97.7368622
41,Gus's World Famous Fried Chicken,78701,4.0,30.2634862,-97.7417305
42,Fixe Austin's Southern House,78701,4.0,30.26853,-97.74773
43,Ramen Tatsu-Ya,78702,4.5,30.26326,-97.72624
44,Eureka!,78701,4.0,30.2678427491661,-97.7412401139736
45,Swift's Attic,78701,4.0,30.26563,-97.74337
46,Red Ash,78701,4.0,30.26588,-97.744672
47,Ramen Tatsu-Ya,78702,4.5,30.26326,-97.72624
48,The Hightower,78702,4.0,30.264821,-97.729488
49,Little Big Burger,78702,4.5,30.26263,-97.7248
50,Juniper,78702,4.0,30.25486,-97.71762
51,DEE DEE,78702,4.5,30.25901,-97.71445
52,Revelry Kitchen + Bar,78702,4.5,30.2637173006037,-97.7277220894538
53,Boteco,78702,5.0,30.26431,-97.72789
54,Suerte,78702,4.0,30.26228,-97.72331
55,Chicken Lollypop,78702,5.0,30.27412,-97.72018
56,The Brewer's Table,78702,4.5,30.25331,-97.70198
57,Pitchfork Pretty,78702,4.0,30.25343,-97.71351
58,Hi Hat Public House,78702,4.5,30.26023,-97.71893
59,Chi'Lantro,78702,5.0,30.26426,-97.73078
60,Launderette,78702,4.0,30.25193,-97.72273
61,Intero Restaurant,78702,4.5,30.2538078303281,-97.7146533178121
62,The Cavalier,78702,3.5,30.262942,-97.714676
63,Lazarus Brewing,78702,4.5,30.26169,-97.72204
64,Kemuri Tatsu-ya,78702,4.0,30.2537937164307,-97.7129516601562
