,Name,Zip code,latitude,longitude
0,She's Not Here,78701,30.2656463300085,-97.7483603730798
1,Gotham,78702,30.25889,-97.7258
2,Edge Rooftop Pool Bar,78701,30.2643864129296,-97.7436428743045
3,The Roosevelt Room,78701,30.2677,-97.74627
4,Nickle City,78702,30.26856,-97.7281
5,Firehouse Lounge,78701,30.268173,-97.741043
6,Skylark Lounge,78722,30.2846205,-97.70491
7,The Good Life Bar Bar,78701,30.2665700053185,-97.7415906351087
8,Night Owl,78757,30.3640100887497,-97.7284658807284
9,Draught House Pub & Brewery,78756,30.31098,-97.74283
10,Whisler's,78702,30.2619673762692,-97.7226847531614
11,Dive Bar and Lounge,78701,30.2798841,-97.7421312
12,HandleBar,78701,30.26661,-97.74204
13,Attabar,78702,30.26429,-97.7292
14,The Wheel,78702,30.280246473018,-97.7208685643035
15,Barfly's,78751,30.3167018890381,-97.7141571044922
16,Workhorse Bar,78751,30.31771,-97.721675
17,Back Lot,78705,30.30189,-97.73936
18,Craft Pride,78701,30.257925,-97.738777
19,The Butterfly Bar,78722,30.28442,-97.71744
20,The Barn,78745,30.221052,-97.82653
21,The Tigress Pub,78751,30.317891,-97.722182
22,Lala's,78757,30.3446,-97.73649
23,The Rusty Mule,78736,30.2312371513822,-97.927311988385
24,Hideaway Kitchen & Bar,78744,30.21165,-97.75281
25,Texas Mist,78742,30.22859,-97.68042
26,Techo Mezcaleria & Agave Bar,78722,30.28412,-97.7189099
27,Knomad Bar,78723,30.312658,-97.704584
28,Mugshots,78701,30.2676,-97.73849
29,The Mean Eyed Cat,78703,30.27452,-97.76496
30,Violet Crown Social Club,78702,30.26426,-97.73078
31,Full Circle Bar,78702,30.27392,-97.72037
32,Baretto,78759,30.398676,-97.749059
33,Mort Subite,78701,30.265719,-97.7439904
34,Drink Well,78751,30.31728,-97.72062
35,Lucille,78701,30.25872,-97.73848
36,Yard Bar,78757,30.34303,-97.73921
37,Hideout Pub,78758,30.4125127501726,-97.7096274135108
38,Hole in the Wall,78705,30.29005,-97.74161
39,The Jackalope,78701,30.26732,-97.73892
40,Midnight Cowboy,78701,30.266983,-97.740028
41,The Little Darlin',78745,30.19448,-97.77681
42,Half Step,78701,30.2583942,-97.7385891
43,Royal Jelly,78752,30.3391,-97.71703
44,The Market and Tap Room,78701,30.2663307,-97.7447205
45,One-2-One Bar,78704,30.2519187927246,-97.7635116577148
46,Scoreboard,78750,30.36958,-97.80005
47,MacGuffins,78746,30.3276711,-97.8107529
48,Academia,78701,30.2668741300305,-97.7453676983714
49,Azul Rooftop Pool Bar + Lounge,78701,30.266635,-97.740319
0,Dry Creek Cafe & Boat Dock,78731,30.33267,-97.77661
1,Deep Eddy Cabaret,78703,30.2778909,-97.7724955
2,Garage,78701,30.2676758046831,-97.7440973042297
3,C-Hunt's Icehouse,78758,30.37925,-97.72395
4,Tiniest Bar in Texas,78703,30.2694944344825,-97.7531080700845
5,The Secret Bar,78701,30.26535,-97.74671
6,Clive Bar,78701,30.2600536346436,-97.7385940551758
7,SquareRut Kava Bar,78704,30.2619680504078,-97.7618099749088
8,Stinson's,78756,30.3151275,-97.7417583
9,Hard Luck Lounge,78702,30.2564602,-97.701889
10,The Gatsby Austin,78701,30.266348,-97.7355259
11,College RoadHouse,78753,30.3646543475126,-97.6943624764681
12,The Little Longhorn Saloon,78756,30.329585,-97.740064
13,The Beer Plant,78703,30.2965180811856,-97.7678042803603
14,The Lost Well,78702,30.262714805058,-97.7145181439692
15,Eberly,78704,30.2587887974766,-97.7587449596709
16,Stay Gold,78702,30.2570762634277,-97.7237091064453
17,Pour Choices,78701,30.2669479091807,-97.73925183345
18,Lavaca Street Bar,78704,30.2416474,-97.7848149
19,Nightcap,78703,30.27371,-97.76045
20,Nosh & Bevvy,78757,30.3654772101226,-97.7288885435165
21,Hopfields,78705,30.2985538576336,-97.7409893637848
22,Continental Club,78704,30.2504978179932,-97.7490234375
23,Corner,78701,30.264545,-97.74329
24,8 Track,78722,30.28511,-97.71164
25,Watertrade,78704,30.2473650623443,-97.75011587888
26,Small Victory,78701,30.2689112,-97.7416833
27,The Local Post Pub,78757,30.3471009,-97.7346893
28,Cheer Up Charlie's,78701,30.2696098,-97.7363583
29,Icenhauer's,78701,30.25936,-97.73824
30,Parlor and Yard,78701,30.26946,-97.74875
31,Container Bar,78701,30.2602724972382,-97.7384885028005
32,Lustre Pearl East,78702,30.2530237536547,-97.7107933120138
33,Arlo Grey,78701,30.26278,-97.74396
34,Aviary Wine & Kitchen,78704,30.24824,-97.7715
35,Revelry Kitchen + Bar,78702,30.2637173006037,-97.7277220894538
36,508 - Tequila Bar,78701,30.2686,-97.73665
37,WhichCraft Tap Room & Bottle Shop,78723,30.2970963,-97.7043831
38,Casino South Side Lounge,78704,30.228897,-97.782318
39,Jade Room,78704,30.243746,-97.752289
40,Carousel Lounge,78723,30.30988,-97.7082
41,Crown and Anchor Pub,78705,30.2924600026945,-97.7357137160887
42,Kitty Cohen's,78702,30.2618179321289,-97.7163848876953
43,Vigilante Gaming Bar,78752,30.3394025962971,-97.7183186262846
44,Bender Bar & Grill,78798,30.2242720206809,-97.7673519325409
45,Oasthouse Kitchen + Bar,78726,30.4224100300212,-97.8465196011887
46,Las Perlas,78701,30.26766,-97.73864
47,The Driskill Bar,78701,30.26807,-97.74168
48,King Bee Lounge,78702,30.2740546417273,-97.7197040731558
49,The Liberty,78702,30.2626674,-97.7251338
50,Craftsman,78702,30.25692,-97.7234
51,Corner Bar,78704,30.249415,-97.766958
52,Growler USA - Austin,78705,30.2955795,-97.7434722
53,Knotty Deck & Bar,78759,30.3916541687047,-97.7499180085005
54,Easy Tiger,78701,30.2658004760742,-97.7356872558594
55,Backspin texas Sports Bar & Grill,78737,30.19815,-97.98446
56,Shangri-La,78702,30.2649360275368,-97.7316098818593
57,Pete's Dueling Piano Bar,78701,30.266916118202,-97.7386209368706
58,Rhino Room,78702,30.26511,-97.73171
59,Drinks Lounge,78702,30.25652,-97.72322
60,Indian Roller,78748,30.1720381977696,-97.8253055736423
