,Name,Zip code,latitude,longitude
0,Plush,78701,30.2672547410362,-97.7367449512796
1,Kingdom,78701,30.266647006443,-97.742492574117
2,Elysium,78701,30.26766,-97.73657
3,Ethics Music Lounge,78701,30.2670490323692,-97.7435471490026
4,Barbarella,78701,30.26705,-97.73676
5,Pour Choices,78701,30.2669479091807,-97.73925183345
6,Carnaval Brasileiro,78704,30.2605439518501,-97.7528813629517
7,The Rose Room,78758,30.4012554100097,-97.7229330762929
8,Skylark Lounge,78722,30.2846205,-97.70491
9,Summit Rooftop Lounge,78701,30.267579,-97.743872
10,Donn's Depot,78703,30.27413,-97.76333
11,RIO Night Club + Day Club,78701,30.27016,-97.74921
12,Antone's Nightclub,78701,30.2660523,-97.7403876
13,Suite 101,78701,30.26712,-97.74377
14,Krave Night Club,78701,30.2675762176514,-97.7400741577148
15,Rain on 4th,78701,30.266515,-97.745681
16,Barcelona,78799,30.2675569844717,-97.7409903100922
17,Highland,78701,30.2670059204102,-97.7449569702148
18,Texas Club Bar & Grill,78744,30.2119300039385,-97.7296185185185
19,Darband Hookah Lounge,78729,30.452406,-97.781062
20,Clearport,78701,30.2667080057076,-97.7375103914017
21,Austin Swing Syndicate,78705,30.28783,-97.7482
22,OK Corral,78704,30.22652,-97.77042
23,Shenanigans Night Club,78729,30.44644,-97.77896
24,Hangar Lounge,78701,30.266504262,-97.745026801
25,Hanovers 2.0,78728,30.47609,-97.67361
26,Lit Lounge,78701,30.267239,-97.740929
27,M.I.2 Crew,78753,30.3889868,-97.6710889
28,Emo's,78741,30.24022,-97.72808
29,Fuego,78701,30.2634085714817,-97.7411871403456
30,Vulcan Gas Company,78701,30.267162322998,-97.7384643554688
31,Dozen Street,78702,30.2738603,-97.7203803
32,Majestic Austin,78701,30.266626,-97.738701
33,Club Caribe atx,78744,30.19674,-97.7059
34,The Dorm Room,78701,30.267126,-97.738342
35,Nocturnity,78701,30.2675834298134,-97.7367521077394
36,Creekside Live,78701,30.26741,-97.7360999
37,Austin Ballroom Dancers,78765,30.298709,-97.725207
38,Pete's Dueling Piano Bar,78701,30.266916118202,-97.7386209368706
39,Club Escapade 2000,78724,30.29005,-97.62819
40,Spinners Bar & Grill,78728,30.4308064883808,-97.6713193
41,Bat Bar Austin,78701,30.2677402496338,-97.7405776977539
42,The White Horse,78702,30.262545,-97.727024
43,Volstead Lounge,78702,30.2581775581538,-97.7148056030273
44,Latitude 30,78701,30.26716,-97.74064
45,The Iron Bear,78701,30.270101419529,-97.7432864219643
46,The Eastern,78702,30.26287,-97.72682
47,C-Boys Heart & Soul,78704,30.243746,-97.752289
48,Russian House,78701,30.26603,-97.74023
49,Voodoo Room,78701,30.2667009741786,-97.73865333732
50,Dry Creek Cafe & Boat Dock,78731,30.33267,-97.77661
51,Deep Eddy Cabaret,78703,30.2778909,-97.7724955
52,Garage,78701,30.2676758046831,-97.7440973042297
53,C-Hunt's Icehouse,78758,30.37925,-97.72395
54,Tiniest Bar in Texas,78703,30.2694944344825,-97.7531080700845
55,The Secret Bar,78701,30.26535,-97.74671
56,Clive Bar,78701,30.2600536346436,-97.7385940551758
57,SquareRut Kava Bar,78704,30.2619680504078,-97.7618099749088
58,Stinson's,78756,30.3151275,-97.7417583
59,Hard Luck Lounge,78702,30.2564602,-97.701889
60,The Gatsby Austin,78701,30.266348,-97.7355259
61,College RoadHouse,78753,30.3646543475126,-97.6943624764681
62,The Little Longhorn Saloon,78756,30.329585,-97.740064
63,The Beer Plant,78703,30.2965180811856,-97.7678042803603
64,The Lost Well,78702,30.262714805058,-97.7145181439692
65,Eberly,78704,30.2587887974766,-97.7587449596709
66,Stay Gold,78702,30.2570762634277,-97.7237091064453
67,Pour Choices,78701,30.2669479091807,-97.73925183345
68,Lavaca Street Bar,78704,30.2416474,-97.7848149
69,Nightcap,78703,30.27371,-97.76045
70,Nosh & Bevvy,78757,30.3654772101226,-97.7288885435165
71,Hopfields,78705,30.2985538576336,-97.7409893637848
72,Continental Club,78704,30.2504978179932,-97.7490234375
73,Corner,78701,30.264545,-97.74329
74,8 Track,78722,30.28511,-97.71164
75,Watertrade,78704,30.2473650623443,-97.75011587888
76,Small Victory,78701,30.2689112,-97.7416833
77,The Local Post Pub,78757,30.3471009,-97.7346893
78,Cheer Up Charlie's,78701,30.2696098,-97.7363583
79,Icenhauer's,78701,30.25936,-97.73824
80,Parlor and Yard,78701,30.26946,-97.74875
81,Container Bar,78701,30.2602724972382,-97.7384885028005
82,Lustre Pearl East,78702,30.2530237536547,-97.7107933120138
83,Arlo Grey,78701,30.26278,-97.74396
84,Aviary Wine & Kitchen,78704,30.24824,-97.7715
85,Revelry Kitchen + Bar,78702,30.2637173006037,-97.7277220894538
86,508 - Tequila Bar,78701,30.2686,-97.73665
87,WhichCraft Tap Room & Bottle Shop,78723,30.2970963,-97.7043831
88,Casino South Side Lounge,78704,30.228897,-97.782318
89,Jade Room,78704,30.243746,-97.752289
90,Carousel Lounge,78723,30.30988,-97.7082
91,Crown and Anchor Pub,78705,30.2924600026945,-97.7357137160887
92,Kitty Cohen's,78702,30.2618179321289,-97.7163848876953
93,Vigilante Gaming Bar,78752,30.3394025962971,-97.7183186262846
94,Bender Bar & Grill,78798,30.2242720206809,-97.7673519325409
95,Oasthouse Kitchen + Bar,78726,30.4224100300212,-97.8465196011887
96,Las Perlas,78701,30.26766,-97.73864
97,The Driskill Bar,78701,30.26807,-97.74168
98,King Bee Lounge,78702,30.2740546417273,-97.7197040731558
99,The Liberty,78702,30.2626674,-97.7251338
100,Craftsman,78702,30.25692,-97.7234
101,Corner Bar,78704,30.249415,-97.766958
102,Growler USA - Austin,78705,30.2955795,-97.7434722
103,Knotty Deck & Bar,78759,30.3916541687047,-97.7499180085005
104,Easy Tiger,78701,30.2658004760742,-97.7356872558594
105,Backspin texas Sports Bar & Grill,78737,30.19815,-97.98446
106,Shangri-La,78702,30.2649360275368,-97.7316098818593
107,Pete's Dueling Piano Bar,78701,30.266916118202,-97.7386209368706
108,Rhino Room,78702,30.26511,-97.73171
109,Drinks Lounge,78702,30.25652,-97.72322
110,Indian Roller,78748,30.1720381977696,-97.8253055736423
111,W XYZ Bar,78717,30.47561,-97.80106
112,Yellow Jacket Social Club,78702,30.26159,-97.72456
113,Apt 115,78702,30.2616,-97.71982
114,Texas Street Grill,78734,30.39639,-97.93134
115,The Brixton,78702,30.2635168,-97.7275935
116,Donn's Depot,78703,30.27413,-97.76333
117,School House Pub,78722,30.284213,-97.718819
118,Rusty Cannon Pub,78745,30.20985,-97.7820799
119,Buck Wild,78701,30.2674616425138,-97.7400218527087
120,The Townsend,78701,30.26978,-97.74263
121,Boiler Nine,78701,30.266862,-97.752903
122,The Local Outpost Saloon,78729,30.445718,-97.778274
123,Giddy Ups,78748,30.1438891,-97.8336148981476
124,The Mill Bar & Grill,78729,30.45227,-97.78107
125,Seven Grand,78701,30.26766,-97.73864
126,Gibson Bar,78704,30.25502,-97.76177
127,The Side Bar,78701,30.26752,-97.73643
128,Buddy's Place,78757,30.36906,-97.72721
129,Rustic Tap,78701,30.269679,-97.749197
130,The Cloak Room,78701,30.2756075728875,-97.7420997619629
131,G Bar and Bistro,78744,30.2125737,-97.7053511
132,The White Horse,78702,30.262545,-97.727024
133,Shiner's Saloon,78701,30.267053604126,-97.743537902832
134,Waller Creek Pub House,78701,30.2664203643799,-97.7357711791992
135,C-Boys Heart & Soul,78704,30.243746,-97.752289
136,St. Roch's Bar,78702,30.25862,-97.7146099
137,Marker 10,78704,30.2609943392122,-97.7468085110451
138,Growler Room,78757,30.34439,-97.73853
139,Casa de Montecristo,78746,30.33636,-97.8051799
140,Little Woodrow's Tech Ridge,78753,30.40014,-97.65851
141,Haymaker,78722,30.28479,-97.71757
142,The Jackalope South Shore,78741,30.2404842376709,-97.7261352539062
143,EastSide Tavern,78702,30.2589905157159,-97.7287379999974
144,The Eleanor,78701,30.2677,-97.74627
145,Dozen Street,78702,30.2738603,-97.7203803
146,Péché,78701,30.266988,-97.745231
147,Twin Creeks Hall,78726,30.44607,-97.8613699
148,Prohibition Creamery,78702,30.26422,-97.72763
149,Moonfire Lounge,78701,30.26611,-97.74516
150,The Golden Goose,78704,30.2492562575998,-97.7689180730169
151,Whip In,78704,30.2379359562403,-97.7394390106201
152,CU29 Cocktail Bar,78701,30.269103,-97.741214
153,Bungalow,78701,30.2604572574835,-97.738516330719
154,Irene's,78701,30.269838,-97.751213
155,SquareRüt Kava Bar,78756,30.31866,-97.73144
156,Dirty Bill's,78701,30.2696075439453,-97.749397277832
157,Odd Duck,78704,30.25452,-97.762064
158,Contigo,78723,30.28804,-97.70335
159,Casino El Camino,78701,30.26636,-97.7377
160,Speakeasy,78701,30.266847,-97.743725
161,Upstairs at Caroline,78701,30.26873,-97.74217
162,The Aristocrat Lounge,78757,30.3402309,-97.7385864
163,Pour House Pub,78757,30.34264,-97.738
