Zip code,apartment Name,Rating
78613,1,10.0
78701,118,8.64406779661017
78702,96,8.46875
78703,49,7.714285714285714
78704,77,8.220779220779221
78705,218,7.6880733944954125
78713,3,8.0
78715,2,2.0
78716,2,10.0
78717,11,7.7272727272727275
78721,1,4.0
78722,11,4.909090909090909
78723,34,6.705882352941177
78724,1,2.0
78726,12,5.333333333333333
78727,8,6.375
78728,19,4.7894736842105265
78729,23,6.260869565217392
78731,47,5.361702127659575
78732,3,6.0
78733,2,6.0
78734,6,9.333333333333334
78735,11,7.7272727272727275
78736,1,4.0
78738,17,8.235294117647058
78741,57,6.175438596491228
78744,4,3.0
78745,43,7.186046511627907
78746,38,8.210526315789474
78748,12,5.0
78749,30,8.066666666666666
78750,16,6.8125
78751,34,7.382352941176471
78752,50,6.76
78753,24,5.125
78754,5,5.8
78756,27,7.703703703703703
78757,27,6.555555555555555
78758,70,5.757142857142857
78759,49,6.775510204081633
78760,1,10.0
78763,3,7.333333333333333
78766,2,10.0
78798,1,8.0
