,Name,Zip code,latitude,longitude
0,Salty Sow,78722,30.2836497259461,-97.7213180065155
1,CAVA,78746,30.2728,-97.80017
2,Moonshine Patio Bar & Grill,78701,30.26386,-97.73796
3,Roaring Fork,78701,30.2691040039062,-97.7419586181641
4,Franklin Barbecue,78702,30.27009,-97.73126
5,True Food Kitchen,78701,30.2672474,-97.7520856
6,Easy Tiger,78701,30.2658004760742,-97.7356872558594
7,Second Bar + Kitchen,78701,30.2645939290629,-97.7444895054345
8,The Peached Tortilla,78756,30.33075,-97.74021
9,Hideaway Kitchen & Bar,78744,30.21165,-97.75281
10,Gus's World Famous Fried Chicken,78701,30.2634862,-97.7417305
11,Culinary Dropout,78758,30.403653,-97.721503
12,Kicked Up Grub,78704,30.2407,-97.78598
13,Roaring Fork,78759,30.40064,-97.73747
14,South Congress Cafe,78704,30.247910624258,-97.7506415082953
15,Odd Duck,78704,30.25452,-97.762064
16,The Hightower,78702,30.264821,-97.729488
17,Bird Bird Biscuit,78722,30.28492,-97.71398
18,Olive & June,78703,30.30726,-97.75113
19,Contigo,78723,30.28804,-97.70335
20,Boteco,78702,30.26431,-97.72789
21,Corner,78701,30.264545,-97.74329
22,"Truluck's Seafood, Steak and Crab House",78701,30.26683,-97.74502
23,Launderette,78702,30.25193,-97.72273
24,Koriente,78701,30.267,-97.73597
25,Austin Taco Project,78701,30.26506,-97.73862
26,Ramen Tatsu-Ya,78702,30.26326,-97.72624
27,Stella San Jac,78701,30.2665762751589,-97.740525726058
28,Austin Rotisserie,78704,30.2274,-97.76272
29,Clay Pit,78701,30.279073,-97.74232
30,Honest Mary's,78759,30.39447,-97.74826
31,Hopdoddy Burger Bar,78704,30.2496963637703,-97.7500538680416
32,El Alma,78704,30.2601,-97.75562
33,Eddie V's Prime Seafood,78701,30.26613,-97.74058
34,Uchi,78704,30.25754,-97.75981
35,Lamberts Downtown Barbecue,78701,30.2652,-97.74785
36,Fabi + Rosi,78703,30.2789000355663,-97.7726416986868
37,Ramen Tatsu-Ya,78704,30.253899793553,-97.7631825953722
38,Lin Asian Bar And Dim Sum,78703,30.27281,-97.75799
39,The Brewtorium Brewery & Kitchen,78752,30.3258884311273,-97.7175339123001
40,Fixe Austin's Southern House,78701,30.26853,-97.74773
41,Sophia's,78701,30.26955,-97.74751
42,Jack Allen's Kitchen 360,78746,30.3352434572574,-97.8075081023773
43,The Backspace,78701,30.26685,-97.74043
44,Uchiko,78756,30.31067,-97.74
45,Dragonbeard Kitchen,78754,30.3310371446081,-97.6669375598431
46,L'Oca d'Oro,78723,30.297251,-97.704674
47,The Big Kahuna,78756,30.321166,-97.739538
48,Freedmen's,78705,30.288439,-97.747897
49,68 Degrees Kitchen,78703,30.27786,-97.7729
50,Saffron,78731,30.35501,-97.7555
51,Ramen Tatsu-Ya,78758,30.361239468932,-97.715247647945
52,Eberly,78704,30.2587887974766,-97.7587449596709
53,Colleen's Kitchen,78723,30.2984,-97.704748
54,Troy,78759,30.371765,-97.756428
55,Péché,78701,30.266988,-97.745231
56,CAVA,78705,30.2885622487397,-97.741684423978
57,The Bonneville,78701,30.263942,-97.746137
58,888 Pan Asian Restaurant,78741,30.2296193570823,-97.7299686863661
59,Botticelli's,78704,30.2503552,-97.7491967
60,Haru Ramen,78757,30.3547112891156,-97.7329172375578
61,Cookbook Bar & Cafe,78701,30.26613,-97.75178
62,Juniper,78702,30.25486,-97.71762
63,Picnik,78756,30.3189735054924,-97.7391379775419
64,CAVA,78701,30.26721,-97.74296
65,The Grub House,78701,30.2674408,-97.7368622
66,Emmer & Rye,78701,30.2567958831787,-97.7391738891602
67,Justine's Brasserie,78702,30.253236,-97.700576
68,Sway,78704,30.250142,-97.754556
69,Bouldin Creek Cafe,78704,30.24646,-97.75677
70,Lotus + Cleaver,78758,30.40101,-97.72247
71,Cooper's Old Time Pit Bar-B-Que,78701,30.2649296236062,-97.7437352389097
72,Barley Swine,78757,30.3412737661652,-97.7383886364151
73,Blue Dahlia Bistro,78702,30.26889,-97.728588
74,Little Big Burger,78702,30.26263,-97.7248
75,Phoenician Resto Cafe,78701,30.2597553,-97.737549
76,Blue Dahlia Bistro,78746,30.278640289503,-97.80777385929
77,Parkside,78701,30.2670631408691,-97.7403259277344
78,The Brewer's Table,78702,30.25331,-97.70198
79,Heo Eatery,78752,30.3308502022095,-97.7235301584005
80,T22 Chicken Joint,78757,30.34801,-97.73535
81,Patrizi's,78722,30.2839715080976,-97.7172101465576
82,Wink,78703,30.275848,-97.752427
83,Chi'Lantro,78756,30.3245593141276,-97.740055874205
84,DEE DEE,78702,30.25901,-97.71445
85,Pho Please,78741,30.24272,-97.72791
86,Suerte,78702,30.26228,-97.72331
87,The Halal Corner,78723,30.306225107038,-97.7076307296322
88,Banger's Sausage House & Beer Garden,78701,30.2590157575754,-97.7385085889549
89,Lebowski's Grill,78757,30.37186,-97.72586
90,Bun Belly,78751,30.31124,-97.71505
91,Eureka!,78701,30.2678427491661,-97.7412401139736
92,Irene's,78701,30.269838,-97.751213
93,Chicken Lollypop,78702,30.27412,-97.72018
94,Kemuri Tatsu-ya,78702,30.2537937164307,-97.7129516601562
95,Lucky Robot,78704,30.250828,-97.748986
96,Don Japanese Kitchen,78705,30.29284,-97.7417399
97,Titaya's Thai Cuisine,78751,30.3236051867619,-97.7273681944428
98,Sala and Betty,78751,30.31318,-97.71476
99,The Carillon,78705,30.2818694031,-97.7400357374344
100,Swift's Attic,78701,30.26563,-97.74337
101,Jeffrey's,78703,30.2803621441126,-97.7590721100569
